review,recommended,helpful_or_not,playtime_at_review
"---{ Graphics }---
☐ Is this real life?
☐ Beautiful
☐ Good
☐ Decent
☑ Bad
☐ Help, my eyes are bleeding

---{ Gameplay }---
☐ The pinnacle of gameplay
☐ Exceptional
☐ Good
☑ Alright
☐ Meh
☐ Like watching paint dry

---{ Audio }---
☐ Eargasm
☐ Very good
☐ Good
☐ Not too bad
☑ Bad
☐ I would burst my own eardrums

---{ PC Requirements }---
☐ Skynet
☐ State of the art
☐ Powerful
☐ Mid-range
☑ Potato
☐ 486

---{ Game Size }---
☐ You will need to invest in a quantum singularity to hold all the data
☐ It will take up your entire drive
☐ Will eat a significant amount of your hard drive
☐ Workable
☑ Small
☐ Floppy Disk

---{ Difficulty }---
☐ Cuphead
☐ Nightmare
☐ Hard
☑ Medium
☐ Easy
☐ Button or key mashing

---{ Story }---
☐ Baldur’s Gate 3
☐ Awesome
☐ Good
☐ Average
☑ No story
☐ Writers should be fired

---{ Game Time }---
☐ Infinite
☐ Marathon
☐ Long
☐ Average
☐ Short
☑ Over before it began

---{ Bugs }---
☑ Bugthesda
☐ ARK: Survival Evolved
☐ Many
☐ Average
☐ Minor
☐ None

---{ * / 10 }---
☐ 10
☐ 9
☐ 8
☐ 7
☐ 6
☐ 5
☐ 4
☐ 3
☑ 2
☐ 1",False,2,2875
"I love this game. IT is challenging, all while maintaining being fun.",True,2,3307
Unfinished game,False,6,688
"The game was unfortunately abandoned unfinished by Double Fine, there is a fan patch though.",False,2,457
"fun at first, but a bit bland",False,0,496
"Like the other reviewer stated, this IS a fine game from all that I can tell so far.  It has PATCHES and fan made LUV :)  Also when I bought this game some trading card for their other title appeared in my library giving me this as a gift I can keep or give to someone else FOR FREE!  So I mean come-on this game was already super low cost on sale, and now you just doubled my value with the free game trading card, wow...tyvm!  I will give it a whirl soon if I can once the patch it installed and I know I can have a complete run.",True,0,8
Not a lot of depth and controls are painful. At about 10 hours I have bought and maxed out everything you can. I have memorized which choices are good/bad for my base. if you lose it is usually because the controls or menus don't work like you want them to. As of a fan of Double Fine Productions this is disappointing and would not recommend even at a low cost.,False,2,627
Sad.,False,0,22
"[quote][b]Warning: Broken Game![/b]
This game has design/implementation defects that will render this unplayable for many gamers.  The game was abandoned by Double Fine in an incomplete state, yet, unethically, they continue to try scam gamers into buying a product they know is defective, unfinished and unplayable..[/quote]

Spacebase DF-9 is an extremely promising looking sci-fi base building/strategy game... and there's a huge market for such games if done right, which this isn't.  In fact this is a cautionary tale about not judging a book by it's cover... and while the traditional meaning of that is we shouldn't dismiss a book just because it looks bad, when it comes to video games, it's the opposite.  Some video games may look really fantastic but turn out to be duds... especially when they're not even complete games.

How did it come to this?

The core problem here is that this isn't a sincerely made, professional game, it's a Game Jam/demo project.  Game Jam and other student/project games are not made for gamers, they're made for the benefit of stroking the ego of developers.  It's obviously not possible for a game slapped together over a few days to be of the same quality as a properly, sincerely made game from a full development team with a full budget who take the right amount of time and put in genuine hard work to create a product for gamers.  Sure, it is possible to slap together a game in such a manner, unprofessionally.  This is a lot like driving a car using only your feet.  Just because it can be done, doesn't mean it's a good idea, and often ends up in disaster.

After the game jam, Double Fine made a commitment to finish the game... then didn't bother, they just abandoned it.  They took all the money from gamers based on this promise, abandoned the game, and kept all the cash they scammed out of gamers.  Completely reprehensible. 

Reviewing SteamDB to check how popular this game was with players reveals a surprise... there's a very healthy spike in player counts for the game.  How is this possible, if the game is incomplete and unplayable?  This only happened once, around the same time that trading cards were applied to the game... so this is just card idlers getting their cards and moving on.  A closer look at the numbers shows the game just has a couple of players every week running up the game and idling it for cards, then deleting it.  We must ask how it benefits gamers for there to be so many games like this, with no merit as a serious game, that only generate sales from people idling and selling the trading cards.

The developer is deliberately and unethically trying to scam gamers into paying them the greedy, cash grab price of $10 USD for a game they know is broken.  Don't give it to them.  This is also competing with over 9,000 free games available on Steam, many of them far better than this paid product.",False,5,190
so glad i could give double fine my money so they could push out different games and abandon this one :))) why are you still selling this lol,False,8,444
