review,recommended,helpful_or_not,playtime_at_review
"The Best Turn-Based RPG of All Time

I didn't get into this game right away. Actually the first I'd heard of it was at the game awards, and like most people I was really perplexed as to why it was winning EVERYTHING. Sure it looked like it had a really good cast with Charlie Cox and Ben Starr, but I had it in my head that the game was going to be French Arthouse, have a story that was really obtuse like some of the Final Fantasy games. I got this game a few months back, didn't touch it. It was actually my dissatisfaction with Star Wars Zero Company that made me finally try this out only two weeks ago and... My god it deserved absolutely deserves all of those awards.

I don't know what the narrative was about with this game being an industry plant, as from what I know it was a former ubisoft employee that went to make their own studio. There is no way in hell this was an industry plant from Ubisoft they have NEVER cooked something anywhere near this game imo. This game is a love letter to RPGs, Belle Epoque France, incredible character writing, fantastic visuals, and really sick ass music. I'll just say right here this game is a 10/10. It's a game that I think everyone should play. I have some a few nitpicks, but these don't bring it down from being a 10.

The Positives:

This is (near) perfect turn-based combat. The developers took systems from almost every RPG and put them together perfectly, and it all comes down to one very good decision on the developers part: AP. In most RPGs you have mana, a resource that starts full after being healed but goes down the more you use it for spells and ♥♥♥♥. In Clair Obscur its the opposite: your AP starts low, and you have to do actions to build it. Thankfully you have so many different ways to build AP across characters, and very unique ways to use it throughout the entire game. As for defense, you have the universal options of dodging (which has a longer invulnerability window and less recovery time) or parrying (which has a tighter window, can't be spammed as easily, but rewards you with 1 AP per parry AND if you parry all hits of a sequence you get a counterattack). I could go on forever about the other parts of combat, but I think it's better for the player to experience it firsthand. You always feel like you have something to do in battles, and I don't think I've ever run from a battle out of boredom.

The plot is a breath of fresh air for RPGs. I won't give away a lot here, but the premise is that every year a being called the Paintress wipes away a number on a monolith counting down and writes the next number down. Whoever is over that number age wise evaporates into petals. It reminded of Logan's Run, if the population in Logan's Run actually wanted to stop the age limit the whole time. What I really like about the story is that the twists and plot beats are very much earned. Everyone in your party feels like their own living breathing character, and you really get to know them. That's all I feel like I should say on that, because I don't want to spoil anything.

The music I think is the most underated aspect of this game. Many, many great tracks in this game that range from haunting, to intense, to legitimate ♥♥♥♥♥♥♥ jams. It's a phenominal soundtrack and just another part of what makes this game perfect.

Graphical optimization also felt perfect for it. I came off from Zero Company looking very blocky due to it's optimization, but Clair looks ♥♥♥♥♥♥♥ amazing even on medium settings. It never chugged for me, always looked amazing, and to my knowledge never dipped below 60 fps outside maybe one cutscene. I'm on a Nvidia 3070 (or 3060 I don't remember) and it runs fantastic.

Lastly, the meat of the game. I went into this expecting a 20 or 30 hour game... no. I'm 64 hours in and I still haven't done everything I've wanted on my first playthrough. There is so much to customize and experiment with in this game, both in terms of costumes and combat that I've never once felt bored. I usually don't replay games, especially long RPGs like this... but I think I'll at least try a New Game Plus mode if that's a thing with how much there is to use. Alright with all of that out of the way, lets get to-

The (very few) Negatives:

For an RPG that's clearly well-versed in the all time greats (Thousand Year Door, Chrono Trigger, Persona 5) and goes out of its way to use its combat systems to the fullest, there are some headscratching choices they made here and there. 

The one big flaw in the combat system is that you can't switch party members mid fight. You get to use your reserve members if the first wave get KO'd, but you can't actively swap them out like a lot of turn based RPGs. This matters particularly if your character is using a certain element type on their weapon, and the enemy is immune to that type entirely. At best it makes a fight more obnoxious than it should be, and at worst it forces you to abandon and go back to the nearest save point to reformat your party.

The second big issue is that if you retry a fight and it has a cutscene before it... it reloads the cutscene and you gotta skip it all over again. Maybe the cutscenes mask loading the fight? But I doubt it given how fast it goes into it when you skip the cutscene.

Some other minor nitpicks. There's no minimap whatsoever. There's an overworld map, that is a good map imo, but no dungeon maps. I think for the most part... this is fine. The dungeons have a lot of different side paths, but they're designed in a way that you don't really get lost most of the time. There's a few places I definitely would've preferred a minimap though, so I wish that had been a togglable option.

Lastly, I've heard some reviewers mention that doing side content first makes main story fights very easy. I didn't feel like this was the case, but I was also playing on the hardest difficulty. I honestly feel like the hardest difficulty should be the go-to for playing the game, as it really challenges you to optimize your offense and defense. There is a 9,999 damage cap for much of the game, and this does keep you from beating some side bosses in the middle of the game. I wonder if the lower difficulty options allowed the reviewers to beat bosses they really shouldn't have and given them a drastic amount of levels.

Anyways, 10/10 game. Deserved every award it got.",True,0,3867
Absolute Cinema,True,1,9277
not bad,True,1,310
"Recommended, especially for those who like turn-based RPGs. The game is entertaining and beautiful, although I also think it is a bit overrated.",True,0,4441
"10/10 GAME for a non turn based combat fan, this is amazing , the story is enough to make you play the whole game.",True,1,2257
awesome possum,True,1,4431
Amazing game,True,1,905
"I felt immersed from the second the first cut scene started from the music , to the art , and the character development throughout the story it was beautiful FR!!!",True,1,3778
"I really enjoyed the parry/dodge mechanics and unique mechanics each character has. I hope to see more of it in other RPGs. The Lumina system is kinda OP if you spend all the points on 3 characters. The [spoiler] single hit damage cap makes a lot of skills useless until you unlock the damage cap removal Lumina. [/spoiler] 

And I dunno what the story was about lol",True,1,2891
"just really not a whole lot going on for this game, i dont have much to say",False,2,3683
"I don't know what I expected and I'm still disappointed.
For all this time I dodged every single piece of media to not get spoiled in the slightest. I wanted to see why this game triumphed over some of my favorite games when it comes to reviews and other accolades.

But here I am.
This ""game"" consists of essentially 60% cutscenes, 30% of running around in forked linear level design and 10% of combat.

Cutscenes and story has been alright so far, even though I don't understand most of it. It's just pulling more and more high fantasy story elements out of its butt until it gets so convoluted that the main motivator for keeping up with the story is getting answers to your questions.
It's not exactly piquing my interest if I am thrown into a world where nothing makes sense from the start. Worldbuilding bloat that keeps adding entities, systems, dimensions until I, as a player, lose the grounding in the setting and lose my interest in the characters because the only (!) thing that connects me and the protagonists is that they are humanoid. I don't even know if they are humans at this point. 

Exploration is mostly sprinting through the level and collecting every glowing item until eventually a cutscene triggers after some boundary. It looks great, I'll give them that. But it feels like a cheap ""look how pretty it is... don't worry about the gameplay, look at the flowers!"".
There's also a lot of environmental incoherence when the setting communicates me a destroyed otherworldly level but every other section has platforming parkours with 5 perfectly spaced apart surfaces for you to jump on like God himself built them for you to hike up this small cliff to find this one small upgrade. Or these pitons in cliffs for you to climb on by literally holding the stick forward the entire time. Who genuinely likes these parts? Who feels engaged by platforming in a AAA game that is not centered around it?

And then there's the combat, oh boy. 
I, for one, like methodical turn-based combat. It gives me the freedom to plan ahead and find synergies between my characters. Or maybe make glass-cannon builds, both can be fun. 
But most of it goes out the window when the game gives you the option to perfect-parry attacks that reward you not only with more AP but also with a counter that can absolutely wreck most enemies like a full attack.
Also, I am a big fan of the Souls series, and especially Sekiro.
But who in their right mind thought it would be a good idea to combine the two?
""Oh yeah we want the laid back, tactical combat. Where you really have to think about your next move and what status effects you apply... but don't forget to dodge in the 13 frame window to not get rekt by Unga-Bunga over here. And if you manage to parry him then gg.""

And what's up with the lenience for game over screens, you just die and can restart the fight with nothing lost? So there is no risk involved whatsoever and the main way to win this game is to tank 1-2 boss fights to see their attack pattern tells, then restart the fight until you get the perfect parries? Then why are there these huge skill trees and leveling choices when the combat is based on having binary defenses?

If this were purely turn-based or purely action combat, it would have been much more fun. But mixing both is questionable to say the least. Imagine you're buying seeds in Stardew Valley and suddenly you get a QTE for a perfect credit card swipe and if you ♥♥♥♥ up, your bank account gets halves, but if you manage to succeed, you pay nothing. 
Is it difficult? No. Does it fit the theme? Absolutely not.

Game is worth $10 as a movie at best and even then I'd probably just watch it on Youtube.",False,5,260
"- Soundtrack is phenomenal
- Story is incredibly well written, although slightly stagnates in the middle but then picks up again
- Characters are intriguing and well-designed
- Exploration is somewhat rewarding
- Combat is serviceable, with decent enemy variety, nothing groundbreaking but not bad either

[h3]The story, characters and soundtrack heavily carries the game. [/h3]

 [h3]8/10 [/h3]",True,2,1553
"Most pathetic generative AI, UE5 slop piece of entertainment I have ever seen.",False,3,376
An amazing game well worth it!,True,1,446
Spent 3 hours trying to fix fatal error crash. Gave up and refunded. Would not recommend,False,0,57
:),True,1,391
"not sure what i was expecting, but it certainly wasnt that. gorgeous visuals, stunning music score - 3 hours in, i am very impressed with the gameplay",True,1,208
"Sorry to all the people who put their blood, sweat and tears into this game, but I don't get it. I played the intro and found it really boring and I do not like the gameplay. I don't get the point other than wasting my time to play it.",False,1,40
For those who come after: This is a Masterpiece in the History of Videogames. One of the greatest gaming experience I have had in the last four decades. It's storytelling is near perfection.,True,2,5139
"By far the best JRPG type game I've ever played, it will confuse you, mesmerize you, hurt you, enthrall you, and traumatize you all in one playthrough.
I still hear and hum the Lumiere theme, the gestrals and hearing them say ""sakapatat"", maelle yelling at me to ""PARRY IT!"", Esquie feeling ""WHOO!"" 
So much about this game sits with me to this day even after beating it, it WILL have a lasting impact on you, especially for those who've had and or are dealing with grief and trauma (as is this games underlying themes) as well as struggling with loss and in a game too.
I can't wait to return to this painted world for new game plus.
This was worth my time.",True,2,5630
it was fun,True,1,1458
"I have never played a JRPG or Souls like game, so this is not my genre. However the trailer and especially its music really got me on the hook, then read the great reviews, okok I'll give it a try. I do not regret it.

I haven’t felt this emotionally affected by a game in two decades.

Pros:
- Beautiful.
- Mind blowing Story with many twists.
- Real 3d characters
- Amazing voice acting
- Interesting fight and level up system.
- Challenging fights

Cons:
Well, I cant really put here much.
- If I had to add something I would say, that the fights sometimes are very difficult. You need to learn the fighting mechanics of certain enemies so you could dodge or parry their attacks. I like such challenges, but I could imagine that for some people it could be frustrating. However you can change the difficulty to story mode any time during the game.

I already own this game on GOG. I loved it so much that I decided to buy it on Steam as well to support the developers. It was definitely worth playing through a second time.",True,1,3092
"Steam: Do you recommend this game to other?
Me: Absolument oui",True,0,4919
Now I know why it won game of the year.,True,1,1346
Phenomenal,True,1,1955
Once in a lifetime experience.,True,1,4602
"Calling E33 an amazing video game just is not right, simply due to it being so so so much more than that. E33 is a work of art, not just in its lush and vibrant world, but in its combat, story telling and especialy with its music. in my mind, this is where the game truly shines, music has a ability to envoke emotion, it can cuase fear, flare anger or deepen saddnes, and its done again and again throughout this game. i wont say anything further as a dont want to include spoilers withtin this review, but jsut know, if you are on the edge of buying this game, commit and dont look back, i promise you it is worth your time, adn your money.",True,1,444
"[h1] Masterpiece [/h1]

I don't enjoy turn-based games, maximizing party synergies, etc., and this was one of the best games I ever played. There's not much I can say that hasn't already been said. My only criticism is that exploration during the early parts of the game (until you are one stage away from the end of the game) can feel a bit slow and limited, and it would have been nice to have the world open up earlier.

That said, there's a lot of game here to enjoy, and there was never a time where I wasn't enjoying myself, even down to the (intentionally unfair) superbosses added in the Thank You update. This game will stick with me for a long time.",True,1,7653
